Submission id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638a25a2342448157c6dc3a9,APPROVED,2022-12-02T16:22:43.112000Z,2022-12-02T16:39:34.456000Z,2022-12-02T16:39:34.993000,2022-12-02T16:39:34.914605Z,1012,C1INRZ4D,1413,English,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638a25e61928177fdfe14c8a,APPROVED,2022-12-02T16:20:58.971000Z,2022-12-02T16:34:28.449000Z,2022-12-02T16:34:29.453000,2022-12-02T16:34:29.419007Z,810,C1INRZ4D,1323,English,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638a25efb47ba06e95524f37,APPROVED,2022-12-02T16:21:07.412000Z,2022-12-02T16:35:03.045000Z,2022-12-02T16:35:03.720000,2022-12-02T16:35:03.652967Z,836,C1INRZ4D,1154,English,44,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a25fc8cd9b10d6bca5359,APPROVED,2022-12-02T16:21:21.308000Z,2022-12-02T16:33:40.246000Z,2022-12-02T16:33:40.687000,2022-12-02T16:33:40.618649Z,739,C1INRZ4D,6,English,55,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
638a260cea05df6111f87240,APPROVED,2022-12-02T16:21:40.412000Z,2022-12-02T16:34:49.379000Z,2022-12-02T16:34:50.433000,2022-12-02T16:34:50.366757Z,789,C1INRZ4D,1443,English,59,Female,White,United States,United States,United States,English,Yes,Full-Time
638a35d17abcb3a32a08ceb4,APPROVED,2022-12-02T17:28:54.956000Z,2022-12-02T17:39:14.617000Z,2022-12-02T17:39:15.360000,2022-12-02T17:39:15.279709Z,620,C1INRZ4D,624,English,19,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a3681ef8328ee3397177e,APPROVED,2022-12-02T17:31:51.614000Z,2022-12-02T17:43:35.345000Z,2022-12-02T17:43:35.855000,2022-12-02T17:43:35.789011Z,704,C1INRZ4D,154,English,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a36e38a71c3a13ccb89bb,APPROVED,2022-12-02T17:33:26.117000Z,2022-12-02T18:14:16.912000Z,2022-12-02T18:14:17.346000,2022-12-02T18:14:17.273547Z,2451,C1INRZ4D,280,English,DATA_EXPIRED,Female,Black,United States,United States,United States,English,No,Part-Time
638a37d6c161bf0591285724,APPROVED,2022-12-02T17:37:31.439000Z,2022-12-02T17:49:33.799000Z,2022-12-02T17:49:34.359000,2022-12-02T17:49:34.286704Z,723,C1INRZ4D,7,English,47,Female,White,United States,United States,United States,English,No,Part-Time
638a3825c2f5eefd49f19e61,APPROVED,2022-12-02T17:39:40.192000Z,2022-12-02T17:55:26.003000Z,2022-12-02T17:55:27.862000,2022-12-02T17:55:27.792490Z,946,C1INRZ4D,558,English,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a38c89e8b3a1c853fe272,APPROVED,2022-12-02T17:41:34.292000Z,2022-12-02T18:01:04.800000Z,2022-12-02T18:01:05.294000,2022-12-02T18:01:05.215249Z,1171,C1INRZ4D,1911,English,70,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a38e58e930f221ad770db,APPROVED,2022-12-02T17:42:01.574000Z,2022-12-02T17:51:22.126000Z,2022-12-02T17:51:22.603000,2022-12-02T17:51:22.524346Z,561,C1INRZ4D,63,English,24,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a3938cfb41d8ca8bf399c,APPROVED,2022-12-02T17:43:24.091000Z,2022-12-02T17:50:52.081000Z,2022-12-02T17:50:52.547000,2022-12-02T17:50:52.471016Z,448,C1INRZ4D,357,English,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a39c5568f50b03007a847,APPROVED,2022-12-02T17:45:44.652000Z,2022-12-02T18:07:42.212000Z,2022-12-02T18:07:42.721000,2022-12-02T18:07:42.632054Z,1318,C1INRZ4D,1069,"English, Spanish",24,Female,White,United States,United States,United States,English,No,Full-Time
638a39c80a90b97b19bc4df7,APPROVED,2022-12-02T17:45:46.129000Z,2022-12-02T18:00:18.538000Z,2022-12-02T18:00:19.028000,2022-12-02T18:00:18.939693Z,873,C1INRZ4D,112,English,27,Female,White,United States,United States,United States,English,Yes,Full-Time
638a3a3d2265902bff6dc34f,APPROVED,2022-12-02T17:50:01.446000Z,2022-12-02T18:14:02.295000Z,2022-12-02T18:14:02.852000,2022-12-02T18:14:02.777954Z,1441,C1INRZ4D,266,English,23,Female,White,United States,United States,United States,English,Yes,Part-Time
638a3a4c882ea1aeaa76841b,APPROVED,2022-12-02T17:48:00.384000Z,2022-12-02T18:02:29.757000Z,2022-12-02T18:02:30.232000,2022-12-02T18:02:30.149871Z,870,C1INRZ4D,181,English,36,Male,White,United States,United States,United States,English,No,Other
638a3affd9d18830b111669d,APPROVED,2022-12-02T17:51:05.339000Z,2022-12-02T18:09:38.794000Z,2022-12-02T18:09:39.334000,2022-12-02T18:09:39.263501Z,1114,C1INRZ4D,894,English,23,Female,White,United States,United States,United States,English,Yes,Part-Time
638a3b143c8587eafd345073,APPROVED,2022-12-02T17:51:18.573000Z,2022-12-02T18:00:22.421000Z,2022-12-02T18:00:23.826000,2022-12-02T18:00:23.753042Z,544,C1INRZ4D,124,English,39,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638a3b40a007a407d57683ac,APPROVED,2022-12-02T17:52:04.212000Z,2022-12-02T18:06:31.043000Z,2022-12-02T18:06:31.534000,2022-12-02T18:06:31.462011Z,867,C1INRZ4D,1468,English,27,Male,White,United States,United States,United States,English,No,Part-Time
638a3b648e930f221ad7712c,APPROVED,2022-12-02T17:52:40.712000Z,2022-12-02T18:08:08.447000Z,2022-12-02T18:08:08.959000,2022-12-02T18:08:08.890468Z,928,C1INRZ4D,613,English,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
638a3b7092039757d6524f31,APPROVED,2022-12-02T17:52:52.298000Z,2022-12-02T18:06:31.633000Z,2022-12-02T18:06:32.215000,2022-12-02T18:06:32.144328Z,820,C1INRZ4D,726,"English, French, Spanish",36,Female,White,United States,United States,United States,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638a3b90e60fb9e29e035443,APPROVED,2022-12-02T17:53:23.855000Z,2022-12-02T18:07:16.311000Z,2022-12-02T18:07:16.796000,2022-12-02T18:07:16.724227Z,833,C1INRZ4D,76,English,21,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
638a3c43e84be2b8792856e8,APPROVED,2022-12-02T17:56:22.481000Z,2022-12-02T18:08:18.727000Z,2022-12-02T18:08:19.236000,2022-12-02T18:08:19.153281Z,717,C1INRZ4D,185,English,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a3c5aca6f53eea148bed4,APPROVED,2022-12-02T17:57:10.135000Z,2022-12-02T18:14:37.463000Z,2022-12-02T18:14:37.917000,2022-12-02T18:14:37.848597Z,1048,C1INRZ4D,486,English,74,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a3ca018cb223db8b28edb,APPROVED,2022-12-02T17:58:00.684000Z,2022-12-02T18:14:18.350000Z,2022-12-02T18:14:18.879000,2022-12-02T18:14:18.766929Z,978,C1INRZ4D,418,English,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
638a3cdba42a144db7d723ee,APPROVED,2022-12-02T17:58:55.290000Z,2022-12-02T18:14:12.124000Z,2022-12-02T18:14:12.636000,2022-12-02T18:14:12.562121Z,917,C1INRZ4D,966,English,61,Female,White,United States,United States,United States,English,No,Part-Time
638a3d56f03871faa1285755,APPROVED,2022-12-02T18:01:07.668000Z,2022-12-02T18:12:19.384000Z,2022-12-02T18:12:19.877000,2022-12-02T18:12:19.800796Z,672,C1INRZ4D,358,English,66,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a3dd29d6bd9947a34506a,APPROVED,2022-12-02T18:03:12.773000Z,2022-12-02T18:14:21.702000Z,2022-12-02T18:14:22.216000,2022-12-02T18:14:22.140872Z,669,C1INRZ4D,499,English,25,Female,White,United States,United States,United States,English,No,Full-Time
638a3de01d34a6cfe9bf39c0,APPROVED,2022-12-02T18:03:32.082000Z,2022-12-02T18:22:08.982000Z,2022-12-02T18:22:09.507000,2022-12-02T18:22:09.435420Z,1117,C1INRZ4D,2,English,53,Female,White,United States,United States,United States,English,No,Part-Time
638a3e03bfe0d2ecff29c2e9,APPROVED,2022-12-02T18:03:52.080000Z,2022-12-02T18:18:00.414000Z,2022-12-02T18:18:00.937000,2022-12-02T18:18:00.865859Z,849,C1INRZ4D,1543,English,72,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a3e6eebc6184cc9546cab,APPROVED,2022-12-02T18:05:42.777000Z,2022-12-02T18:25:09.649000Z,2022-12-02T18:25:10.716000,2022-12-02T18:25:10.642950Z,1167,C1INRZ4D,841,English,43,Female,White,United States,United States,United States,English,No,Full-Time
638a3e7e0cc875976d524f74,APPROVED,2022-12-02T18:06:05.780000Z,2022-12-02T18:33:31.098000Z,2022-12-02T18:33:32.415000,2022-12-02T18:33:32.341166Z,1646,C1INRZ4D,25,English,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a3e8dbb5a1658bc524fc6,APPROVED,2022-12-02T18:06:09.781000Z,2022-12-02T18:38:09.628000Z,2022-12-02T18:38:19.332000,2022-12-02T18:38:19.261651Z,1920,C1INRZ4D,5,English,DATA_EXPIRED,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
638a3ec2d6f51b5eed768437,APPROVED,2022-12-02T18:07:00.017000Z,2022-12-02T18:18:53.688000Z,2022-12-02T18:18:54.152000,2022-12-02T18:18:54.080396Z,714,C1INRZ4D,510,English,26,Female,Asian,United States,United States,United States,Chinese,Yes,Full-Time
638a3f0218cb223db8b28f17,APPROVED,2022-12-02T18:08:05.196000Z,2022-12-02T18:17:00.632000Z,2022-12-02T18:17:01.112000,2022-12-02T18:17:01.036638Z,536,C1INRZ4D,382,"English, French",39,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time
638a3f18077887c5846f4e8d,APPROVED,2022-12-02T18:08:27.488000Z,2022-12-02T18:26:44.462000Z,2022-12-02T18:26:44.955000,2022-12-02T18:26:44.880956Z,1097,C1INRZ4D,723,English,46,Female,White,United States,United States,United States,English,No,Part-Time
638a3f220ffce26491bf395c,APPROVED,2022-12-02T18:08:38.367000Z,2022-12-02T18:16:25.030000Z,2022-12-02T18:16:25.530000,2022-12-02T18:16:25.454953Z,467,C1INRZ4D,1495,English,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a3f361021246fcfaa50d0,APPROVED,2022-12-02T18:08:58.031000Z,2022-12-02T18:33:40.356000Z,2022-12-02T18:33:40.851000,2022-12-02T18:33:40.768772Z,1483,C1INRZ4D,1193,"Arabic, English",28,Female,Other,United States,United States,United States,English,No,Full-Time
638a3f4e53378cd30228570b,APPROVED,2022-12-02T18:09:20.354000Z,2022-12-02T18:20:36.497000Z,2022-12-02T18:20:37.037000,2022-12-02T18:20:36.944184Z,677,C1INRZ4D,1609,English,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a3f4f9fa57ced56e14c5f,APPROVED,2022-12-02T18:09:22.361000Z,2022-12-02T18:29:44.016000Z,2022-12-02T18:29:44.552000,2022-12-02T18:29:44.460439Z,1222,C1INRZ4D,552,English,69,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638a3f53b1a41b1d2248bead,APPROVED,2022-12-02T18:09:25.136000Z,2022-12-02T18:19:00.259000Z,2022-12-02T18:19:00.772000,2022-12-02T18:19:00.688644Z,576,C1INRZ4D,969,English,37,Male,White,United States,United States,United States,English,No,Part-Time
638a3f5ec5646fb9a9d95c52,APPROVED,2022-12-02T18:09:39.144000Z,2022-12-02T18:20:12.066000Z,2022-12-02T18:20:12.623000,2022-12-02T18:20:12.543402Z,633,C1INRZ4D,2510,English,41,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638a3f6164f598e868b28eda,APPROVED,2022-12-02T18:10:55.653000Z,2022-12-02T18:31:29.447000Z,2022-12-02T18:31:29.974000,2022-12-02T18:31:29.902714Z,1234,C1INRZ4D,673,English,26,Female,Black,United States,United States,United States,English,No,Full-Time
638a3f637d054edd0e34506b,APPROVED,2022-12-02T18:09:41.726000Z,2022-12-02T18:16:20.386000Z,2022-12-02T18:16:20.864000,2022-12-02T18:16:20.789642Z,399,C1INRZ4D,575,English,20,Female,Mixed,United States,United States,United States,English,No,Part-Time
638a3faf0b551ad826dc3595,APPROVED,2022-12-02T18:10:59.258000Z,2022-12-02T18:35:55.533000Z,2022-12-02T18:35:55.971000,2022-12-02T18:35:55.884703Z,1497,C1INRZ4D,353,English,37,Male,Black,United States,United States,United States,English,No,Part-Time
638a3fb22fa4be21f748bea5,APPROVED,2022-12-02T18:11:00.846000Z,2022-12-02T18:20:02.217000Z,2022-12-02T18:20:03.253000,2022-12-02T18:20:03.159158Z,542,C1INRZ4D,162,English,25,Male,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
638a3fc213184e2050bc4db7,APPROVED,2022-12-02T18:11:18.318000Z,2022-12-02T18:23:19.099000Z,2022-12-02T18:23:19.899000,2022-12-02T18:23:19.833452Z,721,C1INRZ4D,1343,English,58,Female,White,United States,United States,United States,English,No,Full-Time
638a3fd9bfe0d2ecff29c32d,APPROVED,2022-12-02T18:11:43.572000Z,2022-12-02T18:33:57.323000Z,2022-12-02T18:33:57.773000,2022-12-02T18:33:57.694710Z,1334,C1INRZ4D,518,English,24,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
638a3fdbf08e2036877cfbc9,APPROVED,2022-12-02T18:11:41.620000Z,2022-12-02T18:25:39.287000Z,2022-12-02T18:25:39.779000,2022-12-02T18:25:39.713258Z,838,C1INRZ4D,1979,"Norwegian, French, English",38,Male,White,United States,United States,United States,English,No,Full-Time
638a3ff388bf1b426d07a87d,APPROVED,2022-12-02T18:12:08.123000Z,2022-12-02T18:21:45.669000Z,2022-12-02T18:21:46.190000,2022-12-02T18:21:46.117231Z,578,C1INRZ4D,30,English,30,Male,White,United States,United States,United States,English,No,Full-Time
638a4013d778802add0732b8,APPROVED,2022-12-02T18:12:38.006000Z,2022-12-02T18:28:57.088000Z,2022-12-02T18:28:57.608000,2022-12-02T18:28:57.524662Z,980,C1INRZ4D,145,"English, Spanish",22,Female,White,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
638a40368481520c65e04fe2,APPROVED,2022-12-02T18:13:21.045000Z,2022-12-02T18:57:17.879000Z,2022-12-02T18:57:20.527000,2022-12-02T18:57:18.295113Z,2637,C1INRZ4D,1119,English,37,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
638a403b37dea63e7eb766f4,APPROVED,2022-12-02T18:13:18.671000Z,2022-12-02T18:23:39.678000Z,2022-12-02T18:23:40.144000Z,2022-12-02T18:23:40.352822Z,622,C1INRZ4D,123,"English, Vietnamese",19,Male,Asian,Vietnam,United States,United States,Vietnamese,Yes,Part-Time
638a4069399c5df714dc3582,APPROVED,2022-12-02T18:14:04.170000Z,2022-12-02T18:29:01.297000Z,2022-12-02T18:29:01.751000,2022-12-02T18:29:01.676617Z,898,C1INRZ4D,2881,English,59,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
638a407b7a227124217c32e1,APPROVED,2022-12-02T18:14:25.304000Z,2022-12-02T18:25:25.250000Z,2022-12-02T18:25:25.701000,2022-12-02T18:25:25.615680Z,660,C1INRZ4D,1322,English,35,Female,White,United States,United States,United States,English,Yes,Full-Time
638a40911021246fcfaa50ef,APPROVED,2022-12-02T18:14:44.355000Z,2022-12-02T18:30:00.971000Z,2022-12-02T18:30:01.518000,2022-12-02T18:30:01.447060Z,917,C1INRZ4D,1893,English,52,Male,White,United States,United States,United States,English,No,Full-Time
638a4094ad12818188e56808,APPROVED,2022-12-02T18:15:48.005000Z,2022-12-02T18:32:25.989000Z,2022-12-02T18:32:26.528000,2022-12-02T18:32:26.449777Z,998,C1INRZ4D,23,English,42,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638a40a7f08e2036877cfbdf,APPROVED,2022-12-02T18:15:09.420000Z,2022-12-02T18:37:36.139000Z,2022-12-02T18:37:36.621000Z,2022-12-02T18:37:37.316023Z,1347,C1INRZ4D,742,English,57,Male,White,Finland,United States,United States,English,No,Full-Time
638a40c4ad7bacb405bc4e02,APPROVED,2022-12-02T18:17:56.940000Z,2022-12-02T18:30:16.237000Z,2022-12-02T18:30:16.748000,2022-12-02T18:30:16.675345Z,740,C1INRZ4D,2135,English,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a40d200ca1465bf524f36,APPROVED,2022-12-02T18:15:48.117000Z,2022-12-02T18:23:06.758000Z,2022-12-02T18:23:07.209000,2022-12-02T18:23:07.128586Z,439,C1INRZ4D,883,English,36,Female,Black,United States,United States,United States,English,No,Full-Time
638a40d4c4d935a09d07a876,APPROVED,2022-12-02T18:15:58.205000Z,2022-12-02T18:29:02.495000Z,2022-12-02T18:29:03.487000,2022-12-02T18:29:03.408788Z,785,C1INRZ4D,3436,"English, Tagalog-Filipino",43,Female,Mixed,Philippines,United States,United States,Tagalog-Filipino,DATA_EXPIRED,DATA_EXPIRED
638a40e318672a115cb28eae,APPROVED,2022-12-02T18:16:18.247000Z,2022-12-02T18:33:29.803000Z,2022-12-02T18:33:30.370000,2022-12-02T18:33:30.302310Z,1032,C1INRZ4D,644,English,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a411161dd4869dea9d5bf,APPROVED,2022-12-02T18:16:51.825000Z,2022-12-02T18:28:41.030000Z,2022-12-02T18:28:41.590000,2022-12-02T18:28:41.499454Z,710,C1INRZ4D,2126,English,34,Male,White,United States,United States,United States,English,No,Full-Time
638a4115b1a41b1d2248bee0,APPROVED,2022-12-02T18:16:57.146000Z,2022-12-02T18:44:37.523000Z,2022-12-02T18:44:38.216000,2022-12-02T18:44:38.142251Z,1661,C1INRZ4D,968,English,30,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638a4161c5646fb9a9d95c8b,APPROVED,2022-12-02T18:18:13.914000Z,2022-12-02T18:44:07.726000Z,2022-12-02T18:44:08.574000,2022-12-02T18:44:08.491690Z,1554,C1INRZ4D,133,English,58,Female,White,United States,United States,United States,English,No,Full-Time
638a416d2efeec1d2c0732af,APPROVED,2022-12-02T18:18:23.873000Z,2022-12-02T18:29:18.623000Z,2022-12-02T18:29:19.154000,2022-12-02T18:29:19.074330Z,655,C1INRZ4D,1128,English,28,Female,White,United States,United States,United States,English,No,Part-Time
638a416dbd8058bc17a04283,APPROVED,2022-12-02T18:18:30.691000Z,2022-12-02T18:43:39.644000Z,2022-12-02T18:43:40.139000,2022-12-02T18:43:40.061270Z,1509,C1INRZ4D,318,English,58,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638a417c6f24696594768430,APPROVED,2022-12-02T18:18:43.855000Z,2022-12-02T18:33:58.675000Z,2022-12-02T18:33:59.159000,2022-12-02T18:33:59.086091Z,915,C1INRZ4D,662,English,25,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a4218323edb22b7a04255,APPROVED,2022-12-02T18:21:15.066000Z,2022-12-02T18:32:33.042000Z,2022-12-02T18:32:33.494000,2022-12-02T18:32:33.409943Z,678,C1INRZ4D,574,English,22,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a42d6fe3b0aa4c1d770f5,APPROVED,2022-12-02T18:24:24.833000Z,2022-12-02T18:32:02.312000Z,2022-12-02T18:32:02.799000,2022-12-02T18:32:02.727356Z,458,C1INRZ4D,592,English,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a43764e6c04c24d768404,APPROVED,2022-12-02T18:27:02.145000Z,2022-12-02T18:39:35.023000Z,2022-12-02T18:39:35.536000,2022-12-02T18:39:35.467189Z,753,C1INRZ4D,2260,English,45,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a44041b0d9f9519057ff4,APPROVED,2022-12-02T18:29:29.585000Z,2022-12-02T18:57:43.300000Z,2022-12-02T18:57:44.071000,2022-12-02T18:57:43.998028Z,1694,C1INRZ4D,1939,English,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a4495721eeac785971716,APPROVED,2022-12-02T18:32:27.740000Z,2022-12-02T18:40:18.384000Z,2022-12-02T18:40:18.975000,2022-12-02T18:40:18.881439Z,471,C1INRZ4D,3446,"English, Japanese",40,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638a449c7562f993a07c32d1,APPROVED,2022-12-02T18:32:00.893000Z,2022-12-02T18:44:44.320000Z,2022-12-02T18:44:44.904000,2022-12-02T18:44:44.829906Z,764,C1INRZ4D,2925,English,48,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a449d904f1e12d761e1db,APPROVED,2022-12-02T18:31:59.413000Z,2022-12-02T18:46:53.780000Z,2022-12-02T18:46:54.266000,2022-12-02T18:46:54.184621Z,895,C1INRZ4D,1558,English,64,Male,White,United States,United States,United States,English,No,Full-Time
638a449ffeab30d0d0c7c390,APPROVED,2022-12-02T18:32:10.552000Z,2022-12-02T18:43:31.303000Z,2022-12-02T18:43:31.741000,2022-12-02T18:43:31.661542Z,681,C1INRZ4D,364,"Chinese, English",24,Male,Asian,United States,United States,United States,Chinese,Yes,Part-Time
638a44d7b17c599732f1d7c3,APPROVED,2022-12-02T18:32:57.310000Z,2022-12-02T18:42:56.389000Z,2022-12-02T18:42:57.006000,2022-12-02T18:42:56.920520Z,600,C1INRZ4D,535,English,29,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a452e074426d4a2d77130,APPROVED,2022-12-02T18:34:22.321000Z,2022-12-02T18:48:26.424000Z,2022-12-02T18:48:31.632000,2022-12-02T18:48:31.549915Z,845,C1INRZ4D,3462,English,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a4530f5f0a465b8b766f3,APPROVED,2022-12-02T18:34:31.737000Z,2022-12-02T19:02:55.345000Z,2022-12-02T19:02:55.834000,2022-12-02T19:02:55.756168Z,1704,C1INRZ4D,1982,English,58,Male,White,United States,United States,United States,English,No,Full-Time
