Submission id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
637a837a907986a8df423b21,APPROVED,2022-11-20T19:44:00.670000Z,2022-11-20T19:55:43.770000Z,2022-11-20T19:55:44.415000,2022-11-20T19:55:44.352914Z,704,C1INRZ4D,1420,English,27,Male,White,United States,United States,United States,English,No,Full-Time
637a8425adc5c97554a1cd2c,APPROVED,2022-11-20T19:46:49.992000Z,2022-11-20T20:02:11.179000Z,2022-11-20T20:02:11.746000,2022-11-20T20:02:11.682748Z,922,C1INRZ4D,136,English,20,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
637a84a32a5f86eb10ee4dee,APPROVED,2022-11-20T19:48:58.366000Z,2022-11-20T20:26:43.039000Z,2022-11-20T20:26:43.539000,2022-11-20T20:26:43.460002Z,2265,C1INRZ4D,554,English,22,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
637a855bc9b5cd9c66dc3dfb,APPROVED,2022-11-20T19:52:01.529000Z,2022-11-20T20:10:50.711000Z,2022-11-20T20:10:51.167000,2022-11-20T20:10:51.091663Z,1130,C1INRZ4D,215,"English, Urdu",20,Female,Asian,India,United States,United States,English,Yes,DATA_EXPIRED
637a899f2e947b1b8777d0cd,APPROVED,2022-11-20T20:10:11.726000Z,2022-11-20T20:19:46.596000Z,2022-11-20T20:19:47,2022-11-20T20:19:46.946920Z,575,C1INRZ4D,1627,English,19,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
637a8b85d8ec5dbb280024cd,APPROVED,2022-11-20T20:18:16.532000Z,2022-11-20T20:31:47.178000Z,2022-11-20T20:31:48.383000,2022-11-20T20:31:48.310564Z,811,C1INRZ4D,121,English,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a21503b52e0114f7c3334,APPROVED,2022-12-02T16:01:28.236000Z,2022-12-02T16:13:56.426000Z,2022-12-02T16:13:57.512000,2022-12-02T16:13:57.438489Z,749,C1INRZ4D,187,English,29,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a218239ddfae0a67cfbc7,APPROVED,2022-12-02T16:02:21.832000Z,2022-12-02T16:18:12.622000Z,2022-12-02T16:18:13.160000,2022-12-02T16:18:13.087604Z,951,C1INRZ4D,134,English,34,Male,Asian,Korea,United States,United States,English,No,Full-Time
638a21bf3b52e0114f7c3344,APPROVED,2022-12-02T16:03:13.771000Z,2022-12-02T16:15:14.082000Z,2022-12-02T16:15:14.568000,2022-12-02T16:15:14.472793Z,721,C1INRZ4D,2965,"English, Spanish",25,Female,White,Mexico,United States,United States,Spanish,DATA_EXPIRED,Unemployed (and job seeking)
638a220e69bf2ba0c3e73689,APPROVED,2022-12-02T16:04:34.545000Z,2022-12-02T16:26:43.090000Z,2022-12-02T16:26:43.599000,2022-12-02T16:26:43.530128Z,1329,C1INRZ4D,603,English,34,Male,Black,United States,United States,United States,English,No,Full-Time
638a2383e63fafe5f03fe23a,APPROVED,2022-12-02T16:10:47.745000Z,2022-12-02T16:18:57.001000Z,2022-12-02T16:18:57.551000,2022-12-02T16:18:57.483154Z,490,C1INRZ4D,2659,English,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
638a23d561c83acc177c32f2,APPROVED,2022-12-02T16:12:08.387000Z,2022-12-02T16:20:51.214000Z,2022-12-02T16:20:51.652000,2022-12-02T16:20:51.565639Z,523,C1INRZ4D,486,"English, Hindi, Punjabi",24,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a24bd334cb1572e03543a,APPROVED,2022-12-02T16:15:59.787000Z,2022-12-02T16:23:45.913000Z,2022-12-02T16:23:46.506000,2022-12-02T16:23:46.429247Z,467,C1INRZ4D,639,English,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
638a2582f9d0510a35d72446,APPROVED,2022-12-02T16:21:55.947000Z,2022-12-02T16:42:31.230000Z,2022-12-02T16:42:32.377000,2022-12-02T16:42:32.308471Z,1236,C1INRZ4D,698,English,42,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
638a2585d8e5847391c487f2,APPROVED,2022-12-02T16:19:21.991000Z,2022-12-02T16:32:31.661000Z,2022-12-02T16:32:32.251000,2022-12-02T16:32:32.168477Z,790,C1INRZ4D,382,"English, Hindi",38,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
